iso3_country,sector,subsector,asset_type,asset_id,asset_name,2021,2022,2023,2024
USA,manufacturing,other-chemicals,adipic_acid_production,3674449,Ascend Performance Materials LLC,22742.899330021777,22742.899330021777,22742.899330021777,22742.89933002178
ETH,agriculture,manure-left-on-pasture-cattle,,20468235,Afder,7839.157989999996,8261.382389999997,8050.288219999998,8050.288219999998
ETH,agriculture,manure-left-on-pasture-cattle,,20468220,Borena,7138.655779999998,7523.152009999995,7330.9148899999955,7330.9148899999955
PAK,agriculture,synthetic-fertilizer-application,,10627066,Multan,5872.636791382588,7178.583535824239,7202.751587859687,7202.751587859687
CHN,agriculture,synthetic-fertilizer-application,,10624519,Chongqing,5830.777712637348,6899.571510314479,6939.2011911296395,6939.2011911296395
ETH,agriculture,manure-left-on-pasture-cattle,,20468243,Siti,6034.908849999999,6359.965949999998,6197.445009999999,6197.445009999999
USA,manufacturing,other-chemicals,nitric_acid_production,3674480,"CF INDUSTRIES NITROGEN, LLC - DONALDSONVILLE NITROGEN COMPLEX",6184.694631005923,6184.694631005923,6184.694631005923,6184.694631005923
PAK,agriculture,synthetic-fertilizer-application,,25317585,Faisalabad,5043.705206022529,6147.030004285919,6168.417858649395,6168.417858649395
ETH,agriculture,manure-left-on-pasture-cattle,,20468240,Liben,5814.1435599999995,6127.302249999998,5970.725569999999,5970.725569999999
PAK,agriculture,synthetic-fertilizer-application,,10627063,Bahawalpur,4841.639425796358,5921.749631918098,5944.811618699147,5944.811618699147
PAK,agriculture,synthetic-fertilizer-application,,10627065,Lahore,4566.750877533477,5611.888836050436,5635.588089333167,5635.588089333167
PAK,agriculture,synthetic-fertilizer-application,,25317584,Dera Ghazi Khan,4548.742911231837,5569.703324870689,5590.311641359817,5590.311641359817
PAK,agriculture,synthetic-fertilizer-application,,25317591,Hyderabad,4195.469494562508,5146.730662393678,5294.951859941238,5294.951859941238
PAK,agriculture,synthetic-fertilizer-application,,25317590,Sargodha,4279.647119294377,5237.860212538929,5252.878637754268,5252.878637754268
CHN,agriculture,synthetic-fertilizer-application,,10624753,Harbin,4390.267070771009,5023.20284424904,5119.8084334426285,5119.8084334426285
BRA,agriculture,manure-left-on-pasture-cattle,,20388468,Corumbá,5090.883419999998,4925.149379999998,5008.013879999999,5008.013879999999
ETH,agriculture,manure-left-on-pasture-cattle,,20468219,Bale,4754.674189999998,5010.794369999998,4882.741699999998,4882.741699999998
PAK,agriculture,synthetic-fertilizer-application,,10627064,Gujranwala,3896.6676542495975,4814.604926392208,4829.161595948669,4829.161595948669
CHN,agriculture,synthetic-fertilizer-application,,10624793,Nanyang,4033.6571560421976,4746.135117975457,4786.608489684628,4786.608489684628
CHN,agriculture,synthetic-fertilizer-application,,10624734,Baoding,3880.5775519065496,4497.220640745269,4573.028970505829,4573.028970505829
NER,agriculture,manure-left-on-pasture-cattle,,20562944,Tchighozerine,4510.613679999999,4338.764919999998,4424.695489999999,4424.695489999999
CHN,agriculture,synthetic-fertilizer-application,,10625341,Weifang,3709.698028245068,4297.989869109948,4370.149305725238,4370.149305725238
